File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./invprel3.v;SimpleTypeIntersection;;;32;9;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;32;10;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;32;11;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;32;12;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;32;13;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;32;14;rewrite;eq_l0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;34;7;apply;D2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;34;8;apply;D2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;34;9;apply;D2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;14;apply;C2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;15;apply;C2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;16;apply;C2;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;26;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;27;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;28;apply;C3;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;38;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;39;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;36;40;apply;C4;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;7;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;8;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;9;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;10;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;11;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;12;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;13;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;14;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;15;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;16;apply;AlreadyIn;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;24;apply;E0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;25;apply;E0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;26;apply;E0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;34;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;35;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;36;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;43;37;apply;EP0;-2;;;;;;;;;;
./invprel3.v;SimpleTypeIntersection;;;45;14;apply;C2;-2;;;;;;;;;;
