File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./triple.v;SimpleTypeIntersection;;;42;9;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;10;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;11;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;12;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;13;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;14;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;15;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;16;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;17;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;18;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;19;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;20;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;21;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;22;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;23;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;24;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;42;25;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;9;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;10;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;11;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;12;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;13;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;14;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;15;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;16;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;17;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;18;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;19;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;20;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;21;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;22;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;23;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;24;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;50;25;rewrite;(Empty_set_zero';-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;9;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;10;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;11;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;12;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;13;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;14;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;15;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;16;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;17;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;18;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;19;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;20;rewrite;(Couple_as_union;-2;;;;;;;;;;
./triple.v;SimpleTypeIntersection;;;52;21;rewrite;(Couple_as_union;-2;;;;;;;;;;
