File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Basics.v;StructuredTypeEvaluation;10;10;1041;14;rewrite ->;H;132;PeanoNat.Nat.add_comm;f_equal2_plus;PeanoNat.Nat.add_succ_comm;Plus.plus_Snm_nSm_stt;PeanoNat.Nat.add_shuffle3;PeanoNat.Nat.add_shuffle0;PeanoNat.Nat.add_assoc;Arith_prebase.plus_assoc_reverse_stt;PeanoNat.Nat.add_cancel_r;PeanoNat.Nat.add_cancel_l
./Basics.v;StructuredTypeEvaluation;10;10;1041;15;rewrite ->;H;0;H;;;;;;;;;
./Basics.v;StructuredTypeEvaluation;10;10;1068;14;rewrite ->;H1;133;plus_id_example;PeanoNat.Nat.add_comm;f_equal2_plus;PeanoNat.Nat.add_succ_comm;Plus.plus_Snm_nSm_stt;PeanoNat.Nat.add_shuffle3;PeanoNat.Nat.add_shuffle0;PeanoNat.Nat.add_assoc;Arith_prebase.plus_assoc_reverse_stt;PeanoNat.Nat.add_cancel_r
./Basics.v;StructuredTypeEvaluation;10;10;1068;15;rewrite ->;H1;0;H1;H2;;;;;;;;
./Basics.v;StructuredTypeEvaluation;10;10;1068;16;rewrite ->;H1;0;H1;;;;;;;;;
./Basics.v;StructuredTypeEvaluation;10;10;1068;29;rewrite ->;H2;134;plus_id_example;PeanoNat.Nat.add_comm;f_equal2_plus;PeanoNat.Nat.add_succ_comm;Plus.plus_Snm_nSm_stt;PeanoNat.Nat.add_shuffle3;PeanoNat.Nat.add_shuffle0;PeanoNat.Nat.add_assoc;Arith_prebase.plus_assoc_reverse_stt;PeanoNat.Nat.add_cancel_r
./Basics.v;StructuredTypeEvaluation;10;10;1068;30;rewrite ->;H2;1;H1;H2;;;;;;;;
./Basics.v;StructuredTypeEvaluation;10;10;1068;31;rewrite ->;H2;0;H2;;;;;;;;;
./Basics.v;StructuredTypeEvaluation;10;10;1105;14;rewrite <-;mult_n_O;61;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.mod_mul;PeanoNat.Nat.Private_NDivProp.mod_mul;PeanoNat.Nat.Div0.mod_mul;PeanoNat.Nat.gcd_add_mult_diag_r;PeanoNat.Nat.eq_add_0;PeanoNat.Nat.crossmul_le_addsquare;PeanoNat.Nat.square_add_le;List.length_zero_iff_nil;PeanoNat.Nat.Private_NZSqrt.sqrt_0;PeanoNat.Nat.Private_NZPow.pow_eq_0
./Basics.v;StructuredTypeEvaluation;10;10;1105;15;rewrite <-;mult_n_O;1;mult_0_l;mult_n_O;Minus.not_le_minus_0_stt;Minus.minus_n_n_stt;Mult.mult_is_O_stt;Mult.mult_S_le_reg_l_stt;BinInt.Z.mul_eq_0_r;BinInt.Z.mul_eq_0_l;BinNat.N.mul_eq_0_r;BinNat.N.mul_eq_0_l
